fra;jour;P_f;P_h;P;T_f;T_h;T;cl_age90
FR;2020-08-18;2292;2407;4709;66871;59101;126239;0
FR;2020-08-19;72;63;138;1962;2153;4191;09
FR;2020-08-19;254;236;490;6186;6401;12701;19
FR;2020-08-19;802;886;1690;13942;12516;26512;29
FR;2020-08-19;389;450;841;10558;9784;20378;39
FR;2020-08-19;291;320;611;9189;8110;17313;49
FR;2020-08-19;271;250;521;8948;7404;16361;59
FR;2020-08-19;150;149;299;6409;5825;12249;69
FR;2020-08-19;70;66;136;4154;3952;8112;79
FR;2020-08-19;39;36;75;2851;1893;4746;89
FR;2020-08-19;19;8;27;1434;518;1953;90
FR;2020-08-19;2359;2464;4830;65654;58583;124566;0
FR;2020-08-20;85;90;181;2038;2298;4415;09
FR;2020-08-20;302;290;596;6539;6785;13448;19
FR;2020-08-20;839;907;1747;15068;13044;28165;29
FR;2020-08-20;412;481;893;11313;10359;21703;39
FR;2020-08-20;309;293;602;10069;8671;18754;49
FR;2020-08-20;274;254;528;9707;7875;17598;59
FR;2020-08-20;148;168;318;6726;5959;12694;69
FR;2020-08-20;65;71;136;4197;4094;8292;79
FR;2020-08-20;35;33;69;2879;2010;4893;89
FR;2020-08-20;24;9;33;1579;496;2083;90
FR;2020-08-20;2494;2596;5104;70142;61629;132114;0
FR;2020-08-21;69;77;147;2248;2488;4835;09
FR;2020-08-21;320;313;637;7004;7275;14414;19
FR;2020-08-21;798;900;1700;15485;13530;29056;29
FR;2020-08-21;443;512;955;12400;10877;23303;39
FR;2020-08-21;304;304;611;11022;9388;20439;49
FR;2020-08-21;267;251;518;10486;8630;19137;59
FR;2020-08-21;132;158;290;7132;6632;13777;69
FR;2020-08-21;65;73;138;4989;4670;9669;79
FR;2020-08-21;51;22;73;3385;2229;5627;89
FR;2020-08-21;27;7;34;1785;608;2395;90
FR;2020-08-21;2477;2620;5110;75983;66399;142779;0
FR;2020-08-22;30;34;64;1049;1241;2321;09
FR;2020-08-22;137;122;259;3269;3263;6573;19
FR;2020-08-22;370;424;795;6406;5560;11979;29
FR;2020-08-22;155;198;353;5123;4500;9627;39
FR;2020-08-22;129;148;277;4659;4011;8676;49
FR;2020-08-22;108;122;230;4288;3789;8080;59
FR;2020-08-22;57;61;118;2774;2891;5667;69
FR;2020-08-22;28;46;74;2050;1946;3999;79
FR;2020-08-22;20;24;44;1434;1090;2530;89
FR;2020-08-22;9;4;13;749;289;1038;90
FR;2020-08-22;1044;1183;2229;31831;28613;60556;0
FR;2020-08-23;8;11;19;366;438;809;09
FR;2020-08-23;65;39;104;1103;1106;2218;19
FR;2020-08-23;175;187;363;2311;2126;4444;29
FR;2020-08-23;78;116;194;1674;1530;3207;39
FR;2020-08-23;54;63;117;1361;1362;2723;49
FR;2020-08-23;27;42;69;1131;1156;2288;59
FR;2020-08-23;31;39;70;796;860;1658;69
FR;2020-08-23;16;25;41;575;668;1247;79
FR;2020-08-23;10;7;17;578;446;1030;89
FR;2020-08-23;6;2;8;312;135;449;90
FR;2020-08-23;470;531;1002;10208;9829;20079;0
FR;2020-08-24;102;91;198;2542;2764;5402;09
FR;2020-08-24;410;363;776;8136;8246;16528;19
FR;2020-08-24;1162;1170;2334;16729;14661;31426;29
FR;2020-08-24;600;623;1223;14135;11868;26035;39
FR;2020-08-24;449;462;912;13101;10415;23540;49
FR;2020-08-24;351;406;758;12072;10023;22110;59
FR;2020-08-24;195;194;389;7952;7422;15389;69
FR;2020-08-24;110;110;220;5144;4990;10136;79
FR;2020-08-24;60;50;111;3315;2415;5736;89
FR;2020-08-24;27;5;32;1880;571;2458;90
FR;2020-08-24;3468;3474;6956;85035;73412;158835;0
FR;2020-08-25;88;97;191;2312;2535;4944;09
FR;2020-08-25;412;421;840;7648;7852;15644;19
FR;2020-08-25;1104;1156;2263;16560;14636;31258;29
FR;2020-08-25;560;616;1178;13581;11263;24888;39
FR;2020-08-25;405;414;819;12286;9488;21816;49
FR;2020-08-25;367;333;701;11451;9075;20561;59
FR;2020-08-25;218;207;425;7969;6939;14931;69
FR;2020-08-25;96;100;196;5075;4904;9994;79
FR;2020-08-25;56;37;93;3245;2233;5491;89
FR;2020-08-25;20;11;31;1634;551;2190;90
FR;2020-08-25;3330;3395;6747;81810;69563;151859;0
FR;2020-08-26;95;96;194;2339;2640;5082;09
FR;2020-08-26;393;340;739;7653;7648;15476;19
FR;2020-08-26;1133;1159;2296;17355;14730;32148;29
FR;2020-08-26;563;644;1214;13885;11657;25596;39
FR;2020-08-26;411;377;790;12546;9791;22376;49
FR;2020-08-26;348;299;650;12055;9144;21237;59
FR;2020-08-26;208;204;412;7951;7117;15100;69
FR;2020-08-26;93;82;177;5167;4726;9907;79
FR;2020-08-26;58;43;102;3240;2129;5382;89
FR;2020-08-26;39;9;48;1657;574;2241;90
FR;2020-08-26;3342;3256;6641;83874;70193;154760;0
FR;2020-08-27;116;127;244;2542;2839;5483;09
FR;2020-08-27;476;399;877;8227;8029;16425;19
FR;2020-08-27;1213;1330;2547;18803;15789;34672;29
FR;2020-08-27;659;697;1357;15350;12437;27835;39
FR;2020-08-27;465;397;863;13954;10619;24608;49
FR;2020-08-27;367;334;703;13227;9709;22977;59
FR;2020-08-27;189;209;398;8546;7329;15899;69
FR;2020-08-27;103;99;202;5227;4896;10134;79
FR;2020-08-27;79;41;120;3422;2319;5749;89
FR;2020-08-27;41;12;53;1880;582;2465;90
FR;2020-08-27;3709;3645;7366;91196;74587;166309;0
FR;2020-08-28;139;132;279;2828;3160;6117;09
FR;2020-08-28;489;437;935;8883;8754;17823;19
FR;2020-08-28;1193;1167;2365;19154;15246;34482;29
FR;2020-08-28;652;731;1384;15626;12611;28296;39
FR;2020-08-28;477;447;931;14271;10647;24961;49
FR;2020-08-28;433;332;767;13722;10365;24141;59
FR;2020-08-28;233;220;455;8945;7834;16818;69
FR;2020-08-28;123;137;261;5846;5500;11365;79
FR;2020-08-28;70;45;115;3673;2481;6160;89
FR;2020-08-28;50;12;62;1771;598;2371;90
FR;2020-08-28;3860;3662;7561;94765;77246;172638;0
FR;2020-08-29;48;42;95;1440;1571;3077;09
FR;2020-08-29;195;185;383;3994;3801;7869;19
FR;2020-08-29;515;458;973;8015;6541;14569;29
FR;2020-08-29;264;273;538;6317;5331;11652;39
FR;2020-08-29;156;162;318;5690;4645;10341;49
FR;2020-08-29;184;150;334;5348;4541;9894;59
FR;2020-08-29;95;92;187;3688;3464;7152;69
FR;2020-08-29;49;49;98;2461;2386;4849;79
FR;2020-08-29;32;19;51;1626;1195;2822;89
FR;2020-08-29;17;5;22;797;315;1113;90
FR;2020-08-29;1555;1437;3001;39384;33802;73360;0
FR;2020-08-30;21;22;43;497;583;1093;09
FR;2020-08-30;78;77;155;1364;1269;2645;19
FR;2020-08-30;212;214;427;2814;2254;5072;29
FR;2020-08-30;122;131;253;2195;1801;4001;39
FR;2020-08-30;94;71;165;1673;1563;3241;49
FR;2020-08-30;62;57;119;1380;1272;2652;59
FR;2020-08-30;34;27;61;903;928;1831;69
FR;2020-08-30;16;27;43;625;740;1367;79
FR;2020-08-30;18;13;31;646;452;1098;89
FR;2020-08-30;15;2;17;447;131;580;90
FR;2020-08-30;672;641;1315;12545;10996;23587;0
FR;2020-08-31;150;167;327;3173;3600;6917;09
FR;2020-08-31;656;558;1228;9238;9196;18621;19
FR;2020-08-31;1452;1530;2988;19981;16610;36686;29
FR;2020-08-31;796;845;1644;16739;13370;30172;39
FR;2020-08-31;624;561;1188;15049;11607;26714;49
FR;2020-08-31;553;399;954;14488;10946;25485;59
FR;2020-08-31;320;314;634;9784;8806;18638;69
FR;2020-08-31;143;143;286;6354;6110;12493;79
FR;2020-08-31;67;52;121;3694;2572;6277;89
FR;2020-08-31;49;20;69;1750;638;2390;90
FR;2020-08-31;4812;4591;9443;100272;83497;184463;0
FR;2020-09-01;130;118;252;2695;3009;5829;09
FR;2020-09-01;605;575;1194;7464;7406;15023;19
FR;2020-09-01;1346;1419;2770;18735;15963;34756;29
FR;2020-09-01;764;744;1509;15359;12967;28366;39
FR;2020-09-01;571;542;1119;13203;10475;23729;49
FR;2020-09-01;508;429;939;12740;9745;22526;59
FR;2020-09-01;262;261;524;8756;7614;16406;69
FR;2020-09-01;135;146;281;5600;5247;10857;79
FR;2020-09-01;103;67;171;3455;2371;5837;89
FR;2020-09-01;31;15;46;1715;536;2261;90
FR;2020-09-01;4459;4317;8811;89760;75369;165668;0
FR;2020-09-02;131;159;303;2970;3248;6366;09
FR;2020-09-02;606;566;1178;7379;7459;15022;19
FR;2020-09-02;1420;1498;2923;19075;15914;35070;29
FR;2020-09-02;763;838;1603;15413;12839;28293;39
FR;2020-09-02;545;519;1068;13149;10345;23529;49
FR;2020-09-02;498;438;937;12575;9557;22168;59
FR;2020-09-02;280;280;562;8670;7531;16230;69
FR;2020-09-02;101;135;237;5242;4893;10155;79
FR;2020-09-02;86;65;151;3248;2229;5488;89
FR;2020-09-02;44;20;64;1650;588;2241;90
FR;2020-09-02;4475;4520;9030;89406;74645;164640;0
FR;2020-09-03;184;167;355;3140;3429;6711;09
FR;2020-09-03;587;557;1154;7132;7156;14451;19
FR;2020-09-03;1474;1495;2988;19801;16554;36455;29
FR;2020-09-03;924;901;1830;16904;13381;30354;39
FR;2020-09-03;634;587;1225;14065;11136;25247;49
FR;2020-09-03;542;484;1028;13138;10085;23272;59
FR;2020-09-03;301;276;580;8939;7740;16715;69
FR;2020-09-03;126;164;290;5248;4965;10229;79
FR;2020-09-03;92;81;173;3386;2131;5521;89
FR;2020-09-03;64;17;81;1604;521;2130;90
FR;2020-09-03;4932;4730;9710;93387;77133;171152;0
FR;2020-09-04;214;228;451;4777;5174;10190;09
FR;2020-09-04;702;645;1362;8247;8527;16964;19
FR;2020-09-04;1371;1390;2770;19496;15988;35583;29
FR;2020-09-04;857;864;1729;17001;13670;30731;39
FR;2020-09-04;689;572;1262;14709;11967;26729;49
FR;2020-09-04;567;548;1116;13614;11015;24679;59
FR;2020-09-04;344;350;698;9791;8630;18490;69
FR;2020-09-04;171;162;335;6197;5809;12030;79
FR;2020-09-04;110;80;190;3832;2692;6533;89
FR;2020-09-04;68;22;90;1926;641;2570;90
FR;2020-09-04;5098;4863;10013;99620;84147;184574;0
FR;2020-09-05;92;93;189;2845;3148;6133;09
FR;2020-09-05;324;229;556;4685;4758;9574;19
FR;2020-09-05;582;531;1116;8260;6540;14828;29
FR;2020-09-05;297;303;600;6627;5552;12185;39
FR;2020-09-05;299;243;542;5965;4884;10858;49
FR;2020-09-05;227;216;443;5215;4559;9788;59
FR;2020-09-05;124;128;255;3668;3502;7189;69
FR;2020-09-05;79;71;150;2586;2500;5088;79
FR;2020-09-05;78;39;117;1779;1265;3047;89
FR;2020-09-05;43;11;55;825;313;1140;90
FR;2020-09-05;2145;1864;4023;42497;37039;79890;0
FR;2020-09-06;21;28;50;865;1054;1958;09
FR;2020-09-06;96;105;202;1259;1196;2494;19
FR;2020-09-06;201;198;400;2591;2063;4658;29
FR;2020-09-06;113;116;229;1980;1655;3639;39
FR;2020-09-06;97;88;185;1555;1438;2995;49
FR;2020-09-06;71;71;143;1278;1276;2555;59
FR;2020-09-06;52;48;100;920;936;1856;69
FR;2020-09-06;32;33;65;674;739;1413;79
FR;2020-09-06;34;27;61;678;501;1179;89
FR;2020-09-06;21;4;25;468;154;622;90
FR;2020-09-06;738;718;1460;12273;11016;23378;0
FR;2020-09-07;293;245;553;8335;9140;17926;09
FR;2020-09-07;812;794;1634;10003;10388;20703;19
FR;2020-09-07;1641;1662;3314;19970;16191;36263;29
FR;2020-09-07;1055;923;1983;18988;14773;33818;39
FR;2020-09-07;863;721;1589;15600;12259;27918;49
FR;2020-09-07;801;618;1423;14282;11184;25525;59
FR;2020-09-07;402;408;818;9657;9104;18808;69
FR;2020-09-07;235;216;451;6483;6142;12649;79
FR;2020-09-07;160;101;262;4384;2772;7165;89
FR;2020-09-07;111;38;149;2415;721;3140;90
FR;2020-09-07;6375;5728;12182;110153;92712;203998;0
FR;2020-09-08;281;268;568;10446;11401;22405;09
FR;2020-09-08;781;752;1557;11401;11867;23547;19
FR;2020-09-08;1651;1648;3303;20468;16268;36816;29
FR;2020-09-08;975;879;1862;19995;15048;35118;39
FR;2020-09-08;823;684;1509;15430;11898;27389;49
FR;2020-09-08;739;621;1363;13084;9986;23100;59
FR;2020-09-08;378;358;738;8668;7602;16311;69
FR;2020-09-08;169;170;339;5423;4995;10436;79
FR;2020-09-08;130;97;227;3708;2471;6187;89
FR;2020-09-08;85;23;108;2118;640;2763;90
FR;2020-09-08;6014;5501;11577;110770;92220;204147;0
FR;2020-09-09;235;256;508;9538;10231;20232;09
FR;2020-09-09;772;834;1631;13554;13221;27170;19
FR;2020-09-09;1549;1583;3147;20328;16007;36456;29
FR;2020-09-09;884;841;1730;19217;15216;34498;39
FR;2020-09-09;784;699;1491;14804;11892;26754;49
FR;2020-09-09;667;585;1254;12660;9653;22358;59
FR;2020-09-09;351;347;701;7961;7060;15052;69
FR;2020-09-09;200;192;394;4769;4515;9306;79
FR;2020-09-09;127;103;230;3343;2214;5569;89
FR;2020-09-09;106;32;138;2009;608;2618;90
FR;2020-09-09;5679;5473;11233;108217;90659;200097;0
FR;2020-09-10;258;286;553;10511;11198;22194;09
FR;2020-09-10;833;864;1709;14351;14174;28864;19
FR;2020-09-10;1595;1584;3187;21253;16721;38063;29
FR;2020-09-10;995;916;1915;20983;15597;36660;39
FR;2020-09-10;832;720;1554;16287;12383;28735;49
FR;2020-09-10;725;640;1371;13275;10093;23422;59
FR;2020-09-10;393;384;778;8424;7480;15936;69
FR;2020-09-10;202;197;399;4962;4701;9681;79
FR;2020-09-10;170;99;272;3661;2366;6039;89
FR;2020-09-10;132;36;168;2137;652;2794;90
FR;2020-09-10;6137;5726;11908;115880;95398;212460;0
FR;2020-09-11;276;280;564;11563;12427;24456;09
FR;2020-09-11;833;829;1681;15949;15886;32235;19
FR;2020-09-11;1383;1360;2748;20584;15749;36400;29
FR;2020-09-11;934;815;1753;20725;14911;35697;39
FR;2020-09-11;832;696;1529;16909;12733;29698;49
FR;2020-09-11;710;627;1339;13564;10621;24224;59
FR;2020-09-11;394;351;747;9236;8270;17541;69
FR;2020-09-11;212;209;422;5877;5659;11555;79
FR;2020-09-11;144;106;251;3915;2761;6694;89
FR;2020-09-11;96;27;123;1928;643;2583;90
FR;2020-09-11;5817;5303;11165;120288;99711;221181;0
FR;2020-09-12;87;86;175;4158;4485;8761;09
FR;2020-09-12;316;333;655;6558;6526;13225;19
FR;2020-09-12;611;571;1185;7959;6294;14269;29
FR;2020-09-12;333;294;628;7605;5693;13324;39
FR;2020-09-12;309;292;602;6318;5142;11484;49
FR;2020-09-12;251;258;509;5141;4431;9584;59
FR;2020-09-12;143;152;295;3547;3524;7078;69
FR;2020-09-12;97;109;206;2539;2581;5123;79
FR;2020-09-12;69;67;136;1686;1230;2919;89
FR;2020-09-12;49;24;73;727;318;1047;90
FR;2020-09-12;2266;2187;4466;46252;40237;86841;0
FR;2020-09-13;40;33;73;1049;1286;2349;09
FR;2020-09-13;90;88;179;1406;1350;2775;19
FR;2020-09-13;203;188;391;2419;1833;4256;29
FR;2020-09-13;128;120;248;2118;1662;3786;39
FR;2020-09-13;92;77;170;1533;1297;2835;49
FR;2020-09-13;75;95;170;1224;1156;2381;59
FR;2020-09-13;52;57;110;920;934;1855;69
FR;2020-09-13;42;52;94;724;773;1500;79
FR;2020-09-13;37;34;71;810;544;1361;89
FR;2020-09-13;19;9;28;452;158;614;90
FR;2020-09-13;778;754;1535;12658;10997;23719;0
FR;2020-09-14;262;294;564;9709;10590;20806;09
FR;2020-09-14;1037;1119;2186;16269;17365;34108;19
FR;2020-09-14;1876;1762;3644;21225;16221;37534;29
FR;2020-09-14;1245;1008;2258;21374;15600;37036;39
FR;2020-09-14;1048;827;1880;17751;13477;31271;49
FR;2020-09-14;948;840;1793;14565;11092;25704;59
FR;2020-09-14;504;471;981;9796;9022;18855;69
FR;2020-09-14;283;271;556;6393;6042;12456;79
FR;2020-09-14;231;144;375;4385;2949;7346;89
FR;2020-09-14;180;53;233;2435;733;3178;90
FR;2020-09-14;7617;6795;14481;123947;103149;228412;0
FR;2020-09-15;250;297;554;9271;10168;19881;09
FR;2020-09-15;1015;943;1978;19040;19230;38803;19
FR;2020-09-15;1786;1696;3491;21235;16424;37746;29
FR;2020-09-15;1083;943;2035;21134;15362;36564;39
FR;2020-09-15;1011;844;1864;16981;12455;29497;49
FR;2020-09-15;828;717;1547;13583;10039;23666;59
FR;2020-09-15;428;457;886;8668;7581;16281;69
FR;2020-09-15;237;231;469;5208;4893;10114;79
FR;2020-09-15;185;134;320;4035;2428;6474;89
FR;2020-09-15;106;36;142;2454;747;3209;90
FR;2020-09-15;6932;6300;13295;121641;99372;222321;0
FR;2020-09-16;214;249;473;7926;8594;16903;09
FR;2020-09-16;1018;1067;2110;18900;19161;38599;19
FR;2020-09-16;1678;1790;3475;20072;16034;36165;29
FR;2020-09-16;1054;986;2041;18677;14163;32875;39
FR;2020-09-16;911;802;1715;15452;11555;27041;49
FR;2020-09-16;816;626;1444;12536;9117;21668;59
FR;2020-09-16;469;477;949;7915;7084;15032;69
FR;2020-09-16;243;253;496;4696;4468;9168;79
FR;2020-09-16;173;112;285;3231;2170;5402;89
FR;2020-09-16;97;36;133;1806;603;2416;90
FR;2020-09-16;6676;6402;13133;111231;92994;205347;0
FR;2020-09-17;219;245;476;6699;7458;14469;09
FR;2020-09-17;1012;1004;2029;17578;17461;35501;19
FR;2020-09-17;1773;1801;3582;20127;16156;36345;29
FR;2020-09-17;1086;989;2079;18360;13803;32207;39
FR;2020-09-17;975;811;1789;15354;11825;27218;49
FR;2020-09-17;790;682;1472;12471;9436;21927;59
FR;2020-09-17;452;431;883;7860;6860;14745;69
FR;2020-09-17;242;265;507;4778;4607;9396;79
FR;2020-09-17;204;118;322;3407;2347;5769;89
FR;2020-09-17;132;43;175;2002;685;2696;90
FR;2020-09-17;6890;6393;13328;108671;90684;200363;0
FR;2020-09-18;227;233;470;6540;7258;14157;09
FR;2020-09-18;1003;973;2002;17754;17562;35863;19
FR;2020-09-18;1695;1686;3387;18935;15288;34289;29
FR;2020-09-18;1116;956;2078;17281;13181;30524;39
FR;2020-09-18;878;770;1649;14914;11466;26418;49
FR;2020-09-18;775;693;1469;12450;9646;22125;59
FR;2020-09-18;445;432;879;8517;7636;16196;69
FR;2020-09-18;253;231;484;5566;5351;10943;79
FR;2020-09-18;176;137;314;3975;2723;6751;89
FR;2020-09-18;107;45;152;2312;727;3086;90
FR;2020-09-18;6678;6159;12893;108288;90878;200442;0
FR;2020-09-19;53;70;124;2033;2226;4350;09
FR;2020-09-19;413;395;817;6695;6687;13548;19
FR;2020-09-19;645;633;1279;7424;6313;13750;29
FR;2020-09-19;361;378;742;6295;5028;11337;39
FR;2020-09-19;373;339;713;5486;4560;10053;49
FR;2020-09-19;292;320;612;4730;4211;8949;59
FR;2020-09-19;191;176;369;3391;3188;6587;69
FR;2020-09-19;107;102;209;2375;2362;4743;79
FR;2020-09-19;83;59;142;1796;1212;3012;89
FR;2020-09-19;44;13;57;932;348;1284;90
FR;2020-09-19;2563;2485;5066;41168;36152;77642;0
FR;2020-09-20;25;22;47;636;696;1343;09
FR;2020-09-20;105;111;216;1638;1808;3469;19
FR;2020-09-20;272;256;528;2593;2245;4847;29
FR;2020-09-20;158;112;270;1924;1575;3502;39
FR;2020-09-20;112;103;215;1444;1370;2816;49
FR;2020-09-20;85;104;189;1181;1265;2446;59
FR;2020-09-20;52;70;122;954;1007;1963;69
FR;2020-09-20;31;53;84;733;747;1482;79
FR;2020-09-20;27;40;67;690;530;1222;89
FR;2020-09-20;20;10;30;405;151;557;90
FR;2020-09-20;887;882;1769;12199;11399;23655;0
FR;2020-09-21;191;240;445;4335;4927;9473;09
FR;2020-09-21;1067;1043;2130;14946;15570;30922;19
FR;2020-09-21;1984;1926;3923;18732;15368;34183;29
FR;2020-09-21;1273;1066;2341;16219;12517;28773;39
FR;2020-09-21;1113;912;2027;14616;11384;26028;49
FR;2020-09-21;972;821;1793;13277;10282;23578;59
FR;2020-09-21;578;539;1117;9102;8264;17383;69
FR;2020-09-21;312;312;624;6002;5699;11707;79
FR;2020-09-21;246;166;412;3931;2768;6702;89
FR;2020-09-21;148;48;197;2117;686;2810;90
FR;2020-09-21;7890;7078;15021;103331;87526;191686;0
FR;2020-09-22;161;163;328;3320;3740;7232;09
FR;2020-09-22;984;991;1990;15268;15867;31512;19
FR;2020-09-22;1829;1718;3552;17873;14311;32223;29
FR;2020-09-22;1135;1006;2142;14775;11541;26346;39
FR;2020-09-22;959;832;1793;12994;10091;23121;49
FR;2020-09-22;850;791;1641;11279;9002;20319;59
FR;2020-09-22;510;521;1033;7658;6871;14558;69
FR;2020-09-22;255;281;536;4690;4572;9271;79
FR;2020-09-22;203;131;337;3421;2248;5679;89
FR;2020-09-22;140;42;183;2033;626;2676;90
FR;2020-09-22;7032;6487;13557;93357;78928;173050;0
FR;2020-09-23;128;122;255;2896;3257;6293;09
FR;2020-09-23;919;905;1847;14250;14169;28770;19
FR;2020-09-23;1758;1643;3405;17196;13633;30893;29
FR;2020-09-23;1013;923;1938;12988;10638;23668;39
FR;2020-09-23;890;717;1610;11603;9157;20799;49
FR;2020-09-23;782;706;1489;10431;8087;18551;59
FR;2020-09-23;446;426;872;6699;6067;12791;69
FR;2020-09-23;237;264;503;4258;4119;8396;79
FR;2020-09-23;162;130;292;3221;2023;5254;89
FR;2020-09-23;109;26;135;1829;583;2419;90
FR;2020-09-23;6449;5867;12357;85407;71796;157939;0
FR;2020-09-24;141;134;279;2322;2599;5048;09
FR;2020-09-24;844;871;1735;12803;12906;26008;19
FR;2020-09-24;1635;1556;3195;17532;13938;31550;29
FR;2020-09-24;976;926;1904;13238;10542;23818;39
FR;2020-09-24;875;752;1628;11761;9222;21010;49
FR;2020-09-24;804;687;1494;10584;8368;18979;59
FR;2020-09-24;455;458;915;7143;6448;13609;69
FR;2020-09-24;240;238;479;4505;4297;8812;79
FR;2020-09-24;178;123;301;3343;2086;5437;89
FR;2020-09-24;93;37;130;1911;599;2516;90
FR;2020-09-24;6243;5783;12063;85167;71035;156844;0
FR;2020-09-25;126;137;269;2309;2716;5117;09
FR;2020-09-25;903;881;1803;13403;13320;27026;19
FR;2020-09-25;1565;1499;3068;16621;13521;30205;29
FR;2020-09-25;883;833;1718;13195;10601;23831;39
FR;2020-09-25;827;752;1579;11878;9728;21636;49
FR;2020-09-25;735;616;1353;10930;8954;19922;59
FR;2020-09-25;435;426;862;7729;7183;14935;69
FR;2020-09-25;253;266;519;5373;5157;10548;79
FR;2020-09-25;165;116;282;3493;2483;5990;89
FR;2020-09-25;86;33;119;1871;620;2505;90
FR;2020-09-25;5980;5562;11577;86824;74310;161770;0
FR;2020-09-26;61;65;128;1060;1416;2517;09
FR;2020-09-26;334;359;704;5143;4872;10157;19
FR;2020-09-26;585;549;1135;6764;5532;12314;29
FR;2020-09-26;362;334;696;5097;4392;9492;39
FR;2020-09-26;288;291;580;4557;4124;8688;49
FR;2020-09-26;297;288;586;4326;3848;8184;59
FR;2020-09-26;172;168;340;3106;3181;6290;69
FR;2020-09-26;91;119;211;2292;2274;4570;79
FR;2020-09-26;77;58;135;1501;1142;2647;89
FR;2020-09-26;27;19;46;758;288;1046;90
FR;2020-09-26;2295;2251;4563;34616;31089;65938;0
FR;2020-09-27;22;16;38;343;399;743;09
FR;2020-09-27;79;86;166;948;908;1867;19
FR;2020-09-27;162;153;315;1865;1546;3414;29
FR;2020-09-27;105;80;185;1418;1163;2586;39
FR;2020-09-27;96;72;168;1016;1084;2100;49
FR;2020-09-27;69;81;150;1029;1056;2085;59
FR;2020-09-27;53;49;102;819;801;1621;69
FR;2020-09-27;38;54;92;668;716;1385;79
FR;2020-09-27;41;37;78;660;487;1148;89
FR;2020-09-27;18;7;25;352;156;509;90
FR;2020-09-27;683;636;1320;9118;8318;17460;0
